,id,tomato1,tomato2,s02,s03,s04,s05,s06,s07,s08,s09,s10,s11,finsave,finsaveqty,sexf,books,impulse,finplan,fincompare,impulse_regret,saveatt_item,saveatt,B1,B2,B3,B4,B5,B6,B7,A1,A2,A3,A4,A5,A6,A7,C1,C2,C3,C4,C5,C6,C7,schoolID,treatment,budget_ind,fin02c_,cityd1,cityd2,cityd3,grade8,agemonths,ageyrs,homemum,homedad,cogn1,cogn2,cogn3,cogn4,relmath,migrantbackground,month_APR
604,2,0.0,1.0,3.0,3.0,1.0,4.0,3.0,1.0,4.0,1.0,3.0,2.0,0.0,,1.0,4.0,1.0,5.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,22,0,10.0,25.0,0,0,1,0.0,160.0,13.333333,1.0,0.0,1.0,0.0,0.0,0.0,2.2857144,1.0,1.0
605,1458,1.0,1.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,3.0,1.0,3.0,0.0,,1.0,2.0,4.0,5.0,1.0,5.0,5.0,4.0,1.0,1.0,3.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,4.0,3.0,3.0,4.0,1.0,4.0,1.0,4.0,4.0,4.0,4.0,22,0,65.0,60.0,0,0,1,0.0,156.0,13.0,1.0,0.0,1.0,0.0,0.0,0.0,1.25,0.0,1.0
606,11,0.0,,3.0,3.0,1.0,3.0,3.0,4.0,4.0,1.0,1.0,2.0,1.0,120.0,0.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,1.0,1.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,22,0,10.0,,0,0,1,0.0,172.0,14.333333,1.0,1.0,1.0,1.0,0.0,0.0,1.2857144,0.0,1.0
607,1455,1.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,1.0,2.0,3.0,1.0,5.0,0.0,5.0,2.0,1.0,2.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,22,0,6.0,21.0,0,0,1,0.0,163.0,13.583333,1.0,1.0,0.0,0.0,0.0,0.0,-0.75,1.0,1.0
608,3,0.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,3.0,0.0,,0.0,4.0,2.0,3.0,4.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,22,0,90.0,65.0,0,0,1,0.0,171.0,14.25,1.0,0.0,1.0,0.0,0.0,0.0,-1.7142856,0.0,1.0
609,5,,1.0,3.0,2.0,2.0,4.0,2.0,3.0,1.0,1.0,3.0,2.0,0.0,,1.0,1.0,3.0,5.0,3.0,1.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,2.0,22,0,100.0,,0,0,1,0.0,160.0,13.333333,1.0,1.0,0.0,0.0,0.0,0.0,0.2857144,0.0,1.0
610,1448,0.0,0.0,3.0,1.0,1.0,3.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,6.4,0.0,1.0,5.0,5.0,4.0,4.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,22,0,30.0,,0,0,1,0.0,176.0,14.666667,1.0,0.0,0.0,0.0,0.0,1.0,0.25,1.0,1.0
611,374,1.0,1.0,3.0,3.0,1.0,3.0,2.0,1.0,4.0,2.0,,2.0,0.0,,1.0,3.0,3.0,2.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,22,0,30.0,,0,0,1,1.0,174.0,14.5,1.0,1.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0
612,370,1.0,,3.0,3.0,1.0,3.0,1.0,2.0,4.0,1.0,3.0,3.0,1.0,15.0,1.0,3.0,1.0,5.0,1.0,5.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,3.0,3.0,4.0,2.0,1.0,4.0,2.0,3.0,2.0,4.0,22,0,90.0,35.0,0,0,1,1.0,171.0,14.25,1.0,0.0,1.0,0.0,0.0,0.0,0.25,1.0,1.0
613,1045,0.0,1.0,1.0,3.0,2.0,3.0,2.0,3.0,4.0,1.0,3.0,3.0,1.0,60.0,0.0,1.0,4.0,1.0,5.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,1.0,2.0,2.0,3.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,15,0,25.0,25.0,1,0,0,0.0,164.0,13.666667,1.0,0.0,1.0,0.0,0.0,0.0,0.21428561,1.0,1.0
